R_kpc,gR2
0.160000,96.040000
0.260000,323.983400
0.360000,671.846400
0.460000,1243.840000
0.560000,2076.933600
0.660000,2857.562400
0.760000,3907.076400
0.860000,4786.037600
0.960000,5342.553600
1.060000,6219.613600
1.160000,7148.210000
1.270000,8833.561200
1.360000,10152.345600
1.470000,11228.977200
1.570000,12801.921300
1.670000,14537.166300
1.770000,15407.655300
1.870000,16947.884800
1.970000,18612.244800
2.080000,20427.284800
2.180000,21022.263200
2.280000,21986.587200
2.370000,22854.478800
2.470000,23336.164800
2.570000,24783.126800
2.680000,25843.883200
2.780000,26808.207200
2.880000,28283.932800
2.980000,29800.000000
3.080000,32044.320000
3.190000,32541.190000
3.290000,33561.290000
3.390000,35964.510000
3.490000,39957.010000
3.590000,43439.000000
3.690000,46287.360000
3.790000,49254.840000
3.900000,54303.600000
3.990000,55556.760000
4.470000,62240.280000
4.970000,72765.770000
5.470000,84106.720000
5.960000,93125.000000
6.460000,102558.960000
6.960000,110496.960000
7.450000,118276.200000
7.950000,126214.200000
8.450000,136290.050000
8.940000,146472.960000
9.440000,154664.960000
9.940000,160322.260000
10.430000,168225.470000
10.930000,179077.120000
11.430000,193167.000000
11.920000,201448.000000
12.420000,216406.080000
12.920000,228541.880000
13.420000,237386.380000
13.910000,246053.990000
14.410000,254898.490000
14.910000,267723.960000
15.400000,276522.400000
15.900000,281255.100000
16.400000,294478.400000
16.890000,303276.840000
17.390000,321645.440000
17.890000,330893.440000
18.380000,334975.500000
18.880000,333968.320000
19.380000,347987.280000
19.870000,367515.520000
20.370000,371243.250000
20.870000,374741.720000
