z_l,z_s,theta_Ein,veldisp,veldisp_err,Reff_arcsec,Reff_kpc
0.7,2.5,1.21,271.19,,,
0.33,2.18,1.39,251.91,,,
0.64,2.54,0.17,99.7,,,
0.4,2.39,1.67,282.22,,,
0.86,2.49,0.65,213.49,,,
0.4,2.3,0.78,193.86,,,
0.56,2.66,1.14,245.75,,,
0.78,2.14,0.21,122.56,,,
0.67,2.56,0.4,153.99,,,
0.71,2.38,1.88,342.74,,,
0.51,2.18,0.99,230.54,,,
0.52,2.63,0.86,210.38,,,
0.51,2.35,0.6,178.38,,,
0.58,2.53,1.73,308.77,,,
0.39,2.38,1.1,228.56,,,
0.49,2.61,0.98,222.22,,,
0.32,2.77,1.31,240.35,,,
0.53,2.43,0.26,118.75,,,
0.56,2.42,0.96,229.23,,,
0.51,2.67,0.39,141.65,,,
0.55,2.5,0.95,225.6,,,
0.58,2.76,0.39,144.64,,,
0.4,2.83,1.52,265.09,,,
0.35,2.18,0.75,186.22,,,
0.61,2.17,1.19,265.01,,,
0.79,2.68,0.35,148.95,,,
0.62,2.84,1.45,282.52,,,
0.62,2.49,1.02,240.95,,,
0.48,2.87,0.55,164.07,,,
0.54,2.91,0.47,154.84,,,
0.35,2.05,0.92,208.61,,,
0.83,2.44,1.25,294.56,,,
0.61,2.44,1.66,307.67,,,
0.54,2.88,1.7,295.31,,,
0.4,2.05,2.03,315.61,,,
0.64,2.2,0.62,194.1,,,
0.56,2.37,0.84,214.01,,,
0.5,2.74,0.76,196.44,,,
0.56,2.67,0.6,178.07,,,
0.12,2.09,0.45,131.09,,,
0.6,2.8,1.02,235.48,,,
0.6,2.8,1.6,295.06,,,
0.63,2.66,0.4,150.06,,,
0.51,2.82,3.26,404.7,,,
0.68,2.71,2.44,378.24,,,
0.68,2.65,2.92,413.54,,,
0.54,2.94,1.59,284.72,,,
0.59,2.28,0.8,213.8,,,
0.7,2.31,1.4,297.75,,,
0.56,2.93,0.65,182.93,,,
0.55,2.23,1.06,242.6,,,
0.68,2.8,0.74,206.46,,,
0.58,2.87,0.12,80.75,,,
0.47,2.89,0.47,151.18,,,
0.65,2.23,0.11,82.71,,,
0.5,2.23,0.89,216.87,,,
0.69,2.43,1.0,246.46,,,
0.47,2.44,0.84,205.34,,,
0.53,2.66,0.45,152.61,,,
0.79,2.38,3.12,459.98,,,
0.5,2.93,1.28,251.46,,,
0.75,2.31,0.0,0.0,,,
0.75,2.62,0.11,82.73,,,
0.57,2.86,2.58,369.03,,,
0.65,2.52,0.59,186.14,,,
0.61,2.1,1.55,304.18,,,
0.24,2.39,0.99,203.22,,,
0.9,2.83,1.05,269.16,,,
0.68,2.7,0.19,104.15,,,
0.3,2.3,1.09,219.5,,,
0.54,2.77,1.19,248.7,,,
0.77,2.95,7.9,694.4,,,
0.63,2.44,0.6,187.12,,,
0.74,2.42,2.54,402.93,,,
0.44,2.43,2.12,322.22,,,
0.29,2.84,0.0,0.0,,,
0.59,2.5,0.32,134.19,,,
0.41,2.62,1.38,255.53,,,
0.59,2.94,0.82,208.72,,,
0.56,2.94,1.2,249.84,,,
0.47,2.77,2.13,323.77,,,
0.66,2.92,1.57,297.02,,,
0.68,2.62,0.36,145.57,,,
0.48,2.88,8.5,645.77,,,
0.42,2.82,0.72,183.92,,,
0.63,2.88,0.69,194.52,,,
0.49,2.77,0.43,145.75,,,
0.49,2.28,1.3,261.16,,,
0.46,2.3,0.64,180.19,,,
0.56,2.73,0.4,144.78,,,
0.32,2.75,1.06,215.66,,,
0.59,2.13,8.84,719.67,,,
0.75,2.52,1.08,262.36,,,
0.69,2.47,1.45,296.65,,,
0.63,2.37,0.72,205.58,,,
0.37,2.37,1.39,254.91,,,
0.49,2.71,1.4,264.91,,,
0.59,2.23,12.59,850.0,,,
0.61,2.38,0.43,156.28,,,
0.53,2.84,0.9,214.5,,,
0.49,2.91,1.63,283.54,,,
0.59,2.53,0.99,233.91,,,
0.67,2.35,0.76,214.97,,,
0.58,2.25,0.37,144.3,,,
0.35,2.76,1.07,218.93,,,
0.57,2.22,2.46,372.72,,,
0.47,2.67,0.25,111.54,,,
0.73,2.37,1.17,272.9,,,
0.6,2.86,0.74,199.15,,,
0.69,2.81,0.05,55.36,,,
0.44,2.75,0.58,166.89,,,
0.61,2.61,1.12,250.31,,,
0.25,2.37,1.3,233.6,,,
0.48,2.6,1.81,301.54,,,
0.41,2.36,0.37,132.85,,,
